Date,selected_ma_short,selected_ma_long,predicted_return,actual_return,signal,position,equity,strategy_return
2024-09-13,100,200,-0.00011169268313579288,0.0017417746628480835,1,1,3.8668288355665195,0.0017417746628480835
2024-09-16,100,200,-0.00016072618934292576,0.008832990456999479,1,1,3.900984497769929,0.008832990456999479
2024-09-17,100,200,-6.677951782869973e-05,-0.009973592526396291,1,1,3.862077667937383,-0.009973592526396291
2024-09-18,100,200,-0.0001949745462735288,0.018291128171107562,1,1,3.932719425568398,0.018291128171107562
2024-09-19,5,20,-3.4574219234482454e-05,-0.007795889440113446,1,1,3.90206037972768,-0.007795889440113446
2024-09-20,5,20,-9.175853726559708e-05,-0.0040434671837624725,1,1,3.8862825266331913,-0.0040434671837624725
2024-09-23,5,20,-4.2271566086650946e-05,-0.010011323048674914,1,1,3.847375696800646,-0.010011323048674914
2024-09-24,100,200,-0.0001563729049036609,0.006850402037011483,1,1,3.8737317671111575,0.006850402037011483
2024-09-25,100,200,-6.197031095981622e-05,-0.0018514193716167027,1,1,3.8665598650770807,-0.0018514193716167027
2024-09-26,100,200,-7.351843007350693e-05,-0.007627889437276658,1,1,3.8370661739236613,-0.007627889437276658
2024-09-27,100,200,-0.00010657419802161426,0.005326868776197591,1,1,3.857505721917739,0.005326868776197591
2024-09-30,100,200,-0.00010322554638930248,-0.022333250148294237,1,1,3.771355081681674,-0.022333250148294237
2024-10-01,100,200,-0.0003371856469004597,-0.008462176741875549,1,1,3.7394412084241133,-0.008462176741875549
2024-10-02,100,200,-0.0003176629945053288,-0.0014144853371396149,1,1,3.7341518236657016,-0.0014144853371396149
2024-10-03,100,200,-0.00032835613383807715,-0.001152404048848088,1,1,3.729848571985096,-0.001152404048848088
2024-10-04,100,200,-0.0003032970340852993,-0.015670875774363102,1,1,3.6713985783563317,-0.015670875774363102
2024-10-07,100,200,-0.000385712494425865,0.012623990930674012,1,1,3.7177462807123915,0.012623990930674012
2024-10-08,100,200,-0.00033194154254448366,0.006631181617378745,1,1,3.7423993315071296,0.006631181617378745
2024-10-09,100,200,-0.00039291073846906883,-0.0038806723684926547,1,1,3.7278763058294846,-0.0038806723684926547
2024-10-10,100,200,-0.0005512525907803423,0.001154269932046148,1,1,3.732179281359691,0.001154269932046148
2024-10-11,100,200,-0.0005944103692259888,0.006773720860577148,1,1,3.757460022013251,0.006773720860577148
2024-10-14,100,200,-0.0005793653022993687,-0.0009543918155426878,1,1,3.7538739329210125,-0.0009543918155426878
2024-10-15,100,200,-0.000615075473785079,-0.006256921923098235,1,1,3.730386236813572,-0.006256921923098235
2024-10-16,100,200,-0.0007077517845249127,0.00144197766581744,1,1,3.73576537045193,0.00144197766581744
2024-10-17,100,200,-0.0006784877945990078,0.0034555710706893894,1,1,3.7486745731929467,0.0034555710706893894
2024-10-18,100,200,-0.0007398194704325282,0.0014826048083218524,1,1,3.7542323761399965,0.0014826048083218524
2024-10-21,100,200,-0.0007046848392599902,0.0208462993024654,1,1,3.8324942279040166,0.0208462993024654
2024-10-22,100,200,-0.0005237930942958238,-0.00680682038113356,1,1,3.806407128082943,-0.00680682038113356
2024-10-23,100,200,-0.000545424427545044,0.00030615608054640475,1,1,3.8075724827702406,0.00030615608054640475
2024-10-24,100,200,-0.000583843078363747,0.00805212401850608,1,1,3.8382315286109576,0.00805212401850608
2024-10-25,100,200,-0.00051006510326875,-0.003643483279662907,1,1,3.8242469962129886,-0.003643483279662907
2024-10-28,100,200,-0.0005093037392731793,0.0125646815618905,1,1,3.872297441934421,0.0125646815618905
2024-10-29,100,200,-0.00042143723734962084,0.0013427780165224945,1,1,3.8774970778128868,0.0013427780165224945
2024-10-30,5,20,-0.0003027762838590121,-0.060527584045039884,1,1,3.6428015475511706,-0.060527584045039884
2024-10-31,100,200,-0.0008146270592451884,0.009892908756696128,1,1,3.678839450879846,0.009892908756696128
2024-11-01,100,200,-0.0007397474814987758,-0.004654301885118395,1,1,3.6617170214885677,-0.004654301885118395
2024-11-04,100,200,-0.0007716875123702172,0.0073446449115430745,1,1,3.6886110327779544,0.0073446449115430745
2024-11-05,100,200,-0.0006370424270884343,0.021192829005123537,1,1,3.76678313566203,0.021192829005123537
2024-11-06,100,200,-0.0005093643732292159,0.012494563915306678,1,1,3.8138474483056584,0.012494563915306678
2024-11-07,100,200,-0.00043323313335495175,-0.006793035749946497,1,1,3.787939846244476,-0.006793035749946497
2024-11-08,100,200,-0.00048082178014423283,-0.010720827414559153,1,1,3.7473299968961573,-0.010720827414559153
2024-11-11,100,200,-0.0005945598773330148,0.012009163229644848,1,1,3.7923322945042277,0.012009163229644848
2024-11-12,100,200,-0.0005292735467242523,0.0051296704522607595,1,1,3.8117857094205,0.0051296704522607595
2024-11-13,5,10,-0.0004745919411623859,0.0039747028535792595,1,1,3.8269364249569664,0.0039747028535792595
2024-11-14,100,200,-0.0004440109723762147,-0.027852687514071106,1,1,3.7203459605764237,-0.027852687514071106
2024-11-15,100,200,-0.0007203248912262416,0.001831404629379474,1,1,3.7271594193915165,0.001831404629379474
2024-11-18,100,200,-0.0007231711049689473,0.004882548115315188,1,1,3.745357454590146,0.004882548115315188
2024-11-19,100,200,-0.0006921921330005998,-0.005505227739664775,1,1,3.724738408836176,-0.005505227739664775
2024-11-20,100,200,-0.0008375799911634581,-0.004316774835022796,1,1,3.708659551805869,-0.004316774835022796
2024-11-21,100,200,-0.0008446289074538814,0.010003161612925915,1,1,3.7457578726699046,0.010003161612925915
2024-11-22,100,200,-0.0007686455137302544,0.004292624811129686,1,1,3.761837005850612,0.004292624811129686
2024-11-25,100,200,-0.000781752483938496,0.02196804811714448,1,1,3.844477222203993,0.02196804811714448
2024-11-26,100,200,-0.000585983451589173,-0.011682570758886235,1,1,3.7995638450246685,-0.011682570758886235
2024-11-27,5,20,-0.000718476719988572,0.0011112695524206906,1,1,3.8037861846381227,0.0011112695524206906
2024-11-29,5,20,-0.0006584820295284748,0.01775839808664359,1,1,3.871335333941402,0.01775839808664359
2024-12-02,5,20,-0.000157755132032712,0.0005104523609418266,1,1,3.8733114662026096,0.0005104523609418266
2024-12-03,5,50,-0.00017047588230642335,0.014424899761829701,1,1,3.929183595848928,0.014424899761829701
2024-12-04,5,50,4.95416221777832e-06,0.011887828155749514,1,1,3.97589305522877,0.011887828155749514
2024-12-05,5,50,0.00010742691117978623,0.002146265854418239,1,1,3.9844263787340264,0.002146265854418239
2024-12-06,5,50,7.857038038418382e-05,0.005523387276470615,1,1,4.00643390869836,0.005523387276470615
2024-12-09,5,50,9.910164740643877e-05,-0.006031158053892316,1,1,3.982270472562526,-0.006031158053892316
2024-12-10,5,50,0.00011667491074762672,0.012767101196075714,1,1,4.033112522675876,0.012767101196075714
2024-12-11,5,50,0.00033252144636364614,0.0012695169139282925,1,1,4.038232627239189,0.0012695169139282925
2024-12-12,5,50,0.0002839874912980634,-0.005093922312658483,1,1,4.01766218395559,-0.005093922312658483
2024-12-13,5,50,0.00021910106801000093,0.009658584659002267,1,1,4.056467114290597,0.009658584659002267
2024-12-16,5,50,0.00031074691626414635,0.006355357013997809,1,1,4.082247411017455,0.006355357013997809
2024-12-17,10,100,0.0005392438770085002,-0.037560942875372705,1,1,3.9289143492090908,-0.037560942875372705
2024-12-18,10,100,0.00013913033906483036,-0.0008231977577982663,1,1,3.9256800757262402,-0.0008231977577982663
2024-12-19,10,100,8.963296776946285e-05,-0.0009837692494484296,1,1,3.9218181123845683,-0.0009837692494484296
2024-12-20,10,100,9.941661227472426e-05,-0.003092154789125612,1,1,3.9096912437262787,-0.003092154789125612
2024-12-23,10,100,7.236564937373492e-05,0.009373892176860688,1,1,3.946340267889785,0.009373892176860688
2024-12-24,10,100,9.520509918415862e-05,-0.0027769405887682064,1,1,3.9353815154227916,-0.0027769405887682064
2024-12-26,10,100,1.033354664676492e-05,-0.017301618856345735,1,1,3.867293044388638,-0.017301618856345735
2024-12-27,10,100,-0.00030601094943522077,-0.01323957641581519,1,1,3.8160917226051043,-0.01323957641581519
2024-12-30,20,100,-0.0003957529067970253,-0.007838329116038212,1,1,3.7861799397463365,-0.007838329116038212
2024-12-31,20,100,-0.00048768604280559547,-0.006927646782351693,1,1,3.7599506224693484,-0.006927646782351693
2025-01-02,20,100,-0.0006511455794327144,0.011395686856023213,1,1,3.8027978423571187,0.011395686856023213
2025-01-03,20,100,-0.0005699759836280635,0.010629487183304365,1,1,3.843219633283151,0.010629487183304365
2025-01-06,20,100,-0.000561240612490995,-0.012808248830128321,1,1,3.7939947199112263,-0.012808248830128321
2025-01-07,20,100,-0.0007629627201074689,0.005185069428193856,1,1,3.8136668459441667,0.005185069428193856
2025-01-08,20,200,-0.0007440489601133365,-0.01321372722067049,1,1,3.7632740925313457,-0.01321372722067049
2025-01-10,20,200,-0.0009167866941351215,-0.0042009521101439296,1,1,3.7474647582912763,-0.0042009521101439296
2025-01-13,20,200,-0.000960149153812102,-0.003643377309516138,1,1,3.7338113302227067,-0.003643377309516138
2025-01-14,20,100,-0.0010726653815142477,0.025597122210640366,1,1,3.829386155153891,0.025597122210640366
2025-01-15,20,100,-0.0008739637304117858,-0.004058114530788859,1,1,3.8138460675536594,-0.004058114530788859
2025-01-16,20,200,-0.0009179913061526455,0.010481033009269503,1,1,3.853819114079962,0.010481033009269503
2025-01-17,50,200,-0.0008666565019661641,-0.0012352828718238396,1,1,3.849058557337232,-0.0012352828718238396
2025-01-21,50,200,-0.0008515056016336134,0.04130685094397313,1,1,4.008051045439785,0.04130685094397313
2025-01-22,5,10,-0.00030164464134919126,0.0011428953325458568,1,1,4.012631828272224,0.0011428953325458568
2025-01-23,5,10,-0.00026578884441554035,-0.005932238324865113,1,1,3.9888279399569737,-0.005932238324865113
2025-01-24,5,20,-0.00026219817406983315,-0.021393475286346164,1,1,3.903493048002017,-0.021393475286346164
2025-01-27,5,20,-0.0004379701086549777,0.0290869270797518,1,1,4.01703366564557,0.0290869270797518
2025-01-28,5,20,-0.00016700612670322737,-0.010890010086932689,1,1,3.973288128507142,-0.010890010086932689
2025-01-29,5,20,-0.0002669327850541307,-0.06180907026770888,1,1,3.7277028833783907,-0.06180907026770888
2025-01-30,10,100,-0.000771692176825118,0.00016868148564763707,1,1,3.728331677838812,0.00016868148564763707
2025-01-31,10,100,-0.0007288145451866802,-0.009974379107584586,1,1,3.6911438842452307,-0.009974379107584586
2025-02-03,10,100,-0.0008139220472370738,0.003528617148667701,1,1,3.704168517853378,0.003528617148667701
2025-02-04,50,200,-0.0007605062417727038,0.0022310207609579358,1,1,3.7124325947187957,0.0022310207609579358
2025-02-05,50,200,-0.000802323022903866,0.00612161237271458,1,1,3.7351586680234954,0.00612161237271458
2025-02-06,50,200,-0.0007865879473102237,-0.014597717712051761,1,1,3.680633876177965,-0.014597717712051761
2025-02-07,50,200,-0.000861620972460372,0.006028045296171625,1,1,3.7028209039021895,0.006028045296171625
2025-02-10,50,200,-0.000812839190371736,-0.0018922027628158755,1,1,3.6958144159576136,-0.0018922027628158755
2025-02-11,50,200,-0.000771110373006674,-0.005833148215105388,1,1,3.6742561826938096,-0.005833148215105388
2025-02-12,50,200,-0.0008113167085824966,0.003667117816155807,1,1,3.6877301130024867,0.003667117816155807
2025-02-13,50,200,-0.0007788717943791261,-0.0051395590136457114,1,1,3.668776806460312,-0.0051395590136457114
2025-02-14,50,100,-0.0009483922709162999,0.00296256876894474,1,1,3.67964581004736,0.00296256876894474
2025-02-18,50,100,-0.0009186288831239413,0.012523125131662427,1,1,3.7257264749667804,0.012523125131662427
2025-02-19,50,100,-0.0008837649157642515,0.005290751165701879,1,1,3.7454383666572975,0.005290751165701879
2025-02-20,50,100,-0.0008549808474615628,-0.019032609065903983,1,1,3.674152902444271,-0.019032609065903983
2025-02-21,50,100,-0.0012390765217875884,-0.010313269594400487,1,1,3.6362603730303142,-0.010313269594400487
2025-02-24,50,100,-0.0013386774439928645,-0.015099089961246759,1,1,3.581356150535413,-0.015099089961246759
2025-02-25,50,100,-0.0014287444792405223,0.004599247381863458,1,1,3.5978276934342834,0.004599247381863458
2025-02-26,50,100,-0.0013190622521075759,-0.018012116199337624,1,1,3.53302320295495,-0.018012116199337624
2025-02-27,50,100,-0.0016193708951255034,0.011362111304059841,1,1,3.57316580582675,0.011362111304059841
2025-02-28,50,100,-0.0017335406276982367,-0.021411134937069587,0,0,3.5695926400209235,0.0
2025-03-03,50,100,-0.0016399248255875758,0.00030887307606852765,0,0,3.5695926400209235,0.0
2025-03-04,100,200,-0.0016625024457790263,0.031934372698082525,0,0,3.5695926400209235,0.0
2025-03-05,100,200,-0.0013590061866574246,-0.010298646124613065,0,0,3.5695926400209235,0.0
2025-03-06,100,200,-0.0014867216095026982,-0.00902021530087016,0,0,3.5695926400209235,0.0
2025-03-07,5,10,-0.0015663919228463912,-0.03343414779278586,0,0,3.5695926400209235,0.0
2025-03-10,5,10,-0.0018642355132610956,0.0007628327728841366,0,0,3.5695926400209235,0.0
2025-03-11,5,10,-0.0018037758122027999,0.007412272955643173,0,0,3.5695926400209235,0.0
2025-03-12,100,200,-0.0017941214749304297,-0.011741172746800088,0,0,3.5695926400209235,0.0
2025-03-13,100,200,-0.0018888304689987775,0.025846893632518464,0,0,3.5695926400209235,0.0
2025-03-14,100,200,-0.001651476590283891,0.0003603001506342629,0,0,3.5695926400209235,0.0
2025-03-17,100,200,-0.0016573542137829711,-0.013326540902504846,0,0,3.5695926400209235,0.0
2025-03-18,5,10,-0.0017519014021413351,0.011212087515609648,0,0,3.5695926400209235,0.0
2025-03-19,5,10,-0.0016205590904790602,-0.0025270714996761257,0,0,3.5695926400209235,0.0
2025-03-20,5,10,-0.0013945853277363765,0.011425972250201921,1,1,3.6067683277638576,0.011425972250201921
2025-03-21,5,10,-0.0012932942181910429,0.004651579309156606,1,1,3.6235454966902054,0.004651579309156606
2025-03-24,5,10,-0.001146280954026517,0.005291621870590513,1,1,3.642719929289571,0.005291621870590513
2025-03-25,5,10,-0.0010253296113469238,-0.013133914466157526,1,1,3.5948767573141147,-0.013133914466157526
2025-03-26,5,10,-0.0010761733913623945,0.001564152436454025,1,1,3.6004996925528197,0.001564152436454025
2025-03-27,5,20,-0.0010701206879825363,-0.030160297350906307,1,1,3.49190755121358,-0.030160297350906307
2025-03-28,5,20,-0.001299812548552077,-0.009002027323099404,1,1,3.4604733040278184,-0.009002027323099404
2025-03-31,10,20,-0.0016745692135923945,0.018114474415922288,0,0,3.4570128307237904,0.0
2025-04-01,10,20,-0.001404149039824203,-0.00013077171689523936,0,0,3.4570128307237904,0.0
2025-04-02,10,20,-0.0011557352518050106,-0.02363022395558212,1,1,3.37194752047315,-0.02363022395558212
2025-04-03,10,20,-0.001534985062033132,-0.03556578252517062,1,1,3.2520215682737135,-0.03556578252517062
2025-04-04,10,20,-0.0021109080646773844,-0.0055024729367602054,0,0,3.24876954670544,0.0
